,,KNN,KNN,SVM,SVM,RF,RF,MLP,MLP
,,mean,std,mean,std,mean,std,mean,std
accuracy,test,92.93%,0.94%,89.96%,7.68%,94.14%,0.69%,94.14%,1.31%
accuracy,train,95.75%,0.15%,91.27%,4.13%,99.86%,0.02%,95.46%,0.21%
f1,test,47.77%,3.46%,42.45%,17.90%,51.61%,3.09%,57.64%,4.63%
f1,train,68.49%,1.33%,44.24%,14.59%,99.04%,0.17%,67.30%,1.63%
precision,test,52.97%,7.99%,57.30%,23.11%,67.82%,11.47%,63.84%,12.71%
precision,train,74.56%,1.06%,54.16%,16.25%,98.71%,0.14%,70.87%,1.76%
recall,test,44.18%,4.35%,53.57%,36.47%,43.19%,7.47%,54.00%,5.11%
recall,train,63.34%,1.75%,54.06%,34.96%,99.36%,0.27%,64.10%,2.22%
